State,Case_Rate,Vacc_Rate,slopes
Alabama,413.74717741935484,116.25685483870973,3.5589056489905193
Alaska,136.29717741935485,9.961290322580629,13.682682966321268
Arizona,740.8665322580645,190.4508064516129,3.8900677086200397
Arkansas,257.716935483871,78.18346774193547,3.2963098584285317
California,2407.4060483870967,6460.695161290322,0.37262337694111114
Colorado,1047.254435483871,810.0790322580647,1.2927805729827235
Connecticut,932.8645161290318,356.21209677419336,2.6188456949579244
Delaware,224.76774193548394,59.47137096774194,3.7794276183308595
Florida,4618.304032258065,2018.784677419355,2.2876654870204964
Georgia,1604.5620967741938,1702.0201612903224,0.9427397708131469
Hawaii,77.04233870967744,43.148387096774194,1.785520708732058
Idaho,301.1169354838711,95.37137096774195,3.1573094989451262
Illinois,1832.8028225806443,850.8189516129032,2.1541631378875468
Indiana,815.5669354838709,59.482661290322575,13.711002799677326
Iowa,467.0770161290323,126.90282258064516,3.680588080160397
Kansas,265.65,380.9641129032258,0.6973097753894777
Kentucky,601.9383064516126,254.18306451612892,2.368129078927747
Louisiana,470.5310483870968,194.8758064516129,2.4145175173601054
Maine,193.00766129032257,179.45403225806453,1.0755270241727821
Maryland,962.3419354838712,406.15483870967734,2.369396702354101
Massachusetts,1766.5375,414.2959677419355,4.26395050289356
Michigan,3497.5205645161304,982.9604838709678,3.5581497139566056
Minnesota,1144.1241935483872,163.17338709677423,7.011708305532903
Mississippi,305.52258064516127,-189.62137096774194,-1.6112244051707454
Missouri,536.7048387096773,36.04516129032258,14.889788795417932
Montana,154.5241935483871,23.958467741935483,6.449669286567818
Nebraska,259.9209677419356,71.14637096774193,3.6533271368090565
Nevada,330.6935483870969,154.2479838709677,2.1439084005385145
New Hampshire,283.6487903225807,52.90201612903222,5.361776565012924
New Jersey,3891.9225806451614,684.0717741935483,5.68934829277724
New Mexico,204.7516129032258,167.18064516129036,1.2247327596187239
North Carolina,1650.3495967741935,856.2854838709684,1.9273357167209444
North Dakota,105.68951612903223,9.977419354838712,10.592870999030062
Ohio,1569.4072580645166,1163.5004032258068,1.3488669653343757
Oklahoma,291.99798387096774,15.245564516129031,19.15297944933746
Oregon,303.5592741935483,227.95241935483872,1.3316782293984661
Pennsylvania,2952.4979838709687,1939.0286290322579,1.5226685875930153
Rhode Island,357.1383064516128,91.99637096774197,3.8820912465866875
South Carolina,967.745161290322,201.9141129032258,4.792855473921958
South Dakota,173.11209677419353,74.39516129032259,2.326926829268292
Tennessee,1143.8818548387096,352.33508064516116,3.2465738374508333
Texas,4262.020967741934,360.64193548387084,11.817874041807173
Utah,468.0467741935484,149.72298387096774,3.126085001063793
Vermont,122.84879032258061,61.937903225806465,1.9834186164602936
Virginia,1400.9955645161294,524.8185483870968,2.669485613307211
Washington,770.448387096774,340.85,2.2603737335976937
West Virginia,327.0536290322579,130.4133064516129,2.507824070495477
Wisconsin,591.2177419354838,617.2024193548389,0.9578992618879931
Wyoming,60.32782258064516,-0.7383064516129049,-81.71108683779337
